Time,Treatment,OD_600
0,Water,0.083
0,SSE,0.083
0,Ch5_SSE,0.097
0,P4_SSE,0.108
0,Water,0.083
0,SSE,0.083
0,Ch5_SSE,0.095
0,P4_SSE,0.102
0,Water,0.084
0,SSE,0.083
0,Ch5_SSE,0.093
0,P4_SSE,0.101
1,Water,0.083
1,SSE,0.083
1,Ch5_SSE,0.093
1,P4_SSE,0.104
1,Water,0.083
1,SSE,0.083
1,Ch5_SSE,0.093
1,P4_SSE,0.101
1,Water,0.083
1,SSE,0.083
1,Ch5_SSE,0.094
1,P4_SSE,0.101
2,Water,0.083
2,SSE,0.083
2,Ch5_SSE,0.095
2,P4_SSE,0.106
2,Water,0.084
2,SSE,0.083
2,Ch5_SSE,0.095
2,P4_SSE,0.103
2,Water,0.083
2,SSE,0.083
2,Ch5_SSE,0.095
2,P4_SSE,0.103
3,Water,0.083
3,SSE,0.083
3,Ch5_SSE,0.097
3,P4_SSE,0.111
3,Water,0.084
3,SSE,0.083
3,Ch5_SSE,0.097
3,P4_SSE,0.107
3,Water,0.084
3,SSE,0.083
3,Ch5_SSE,0.097
3,P4_SSE,0.108
4,Water,0.083
4,SSE,0.083
4,Ch5_SSE,0.101
4,P4_SSE,0.123
4,Water,0.083
4,SSE,0.083
4,Ch5_SSE,0.101
4,P4_SSE,0.119
4,Water,0.084
4,SSE,0.083
4,Ch5_SSE,0.101
4,P4_SSE,0.119
5,Water,0.083
5,SSE,0.083
5,Ch5_SSE,0.107
5,P4_SSE,0.142
5,Water,0.084
5,SSE,0.083
5,Ch5_SSE,0.108
5,P4_SSE,0.141
5,Water,0.084
5,SSE,0.083
5,Ch5_SSE,0.109
5,P4_SSE,0.137
6,Water,0.083
6,SSE,0.083
6,Ch5_SSE,0.119
6,P4_SSE,0.172
6,Water,0.084
6,SSE,0.083
6,Ch5_SSE,0.12
6,P4_SSE,0.143
6,Water,0.084
6,SSE,0.086
6,Ch5_SSE,0.122
6,P4_SSE,0.133
7,Water,0.083
7,SSE,0.083
7,Ch5_SSE,0.14
7,P4_SSE,0.131
7,Water,0.084
7,SSE,0.083
7,Ch5_SSE,0.14
7,P4_SSE,0.139
7,Water,0.084
7,SSE,0.096
7,Ch5_SSE,0.145
7,P4_SSE,0.118
8,Water,0.083
8,SSE,0.083
8,Ch5_SSE,0.173
8,P4_SSE,0.146
8,Water,0.083
8,SSE,0.083
8,Ch5_SSE,0.17
8,P4_SSE,0.194
8,Water,0.084
8,SSE,0.092
8,Ch5_SSE,0.183
8,P4_SSE,0.117
9,Water,0.083
9,SSE,0.083
9,Ch5_SSE,0.212
9,P4_SSE,0.12
9,Water,0.084
9,SSE,0.083
9,Ch5_SSE,0.205
9,P4_SSE,0.199
9,Water,0.084
9,SSE,0.085
9,Ch5_SSE,0.23
9,P4_SSE,0.188
10,Water,0.083
10,SSE,0.083
10,Ch5_SSE,0.241
10,P4_SSE,0.138
10,Water,0.084
10,SSE,0.083
10,Ch5_SSE,0.236
10,P4_SSE,0.135
10,Water,0.084
10,SSE,0.083
10,Ch5_SSE,0.278
10,P4_SSE,0.217
11,Water,0.083
11,SSE,0.083
11,Ch5_SSE,0.275
11,P4_SSE,0.152
11,Water,0.084
11,SSE,0.083
11,Ch5_SSE,0.242
11,P4_SSE,0.223
11,Water,0.084
11,SSE,0.083
11,Ch5_SSE,0.315
11,P4_SSE,0.292
12,Water,0.083
12,SSE,0.083
12,Ch5_SSE,0.266
12,P4_SSE,0.334
12,Water,0.084
12,SSE,0.083
12,Ch5_SSE,0.275
12,P4_SSE,0.253
12,Water,0.084
12,SSE,0.083
12,Ch5_SSE,0.287
12,P4_SSE,0.242
13,Water,0.083
13,SSE,0.083
13,Ch5_SSE,0.268
13,P4_SSE,0.342
13,Water,0.084
13,SSE,0.083
13,Ch5_SSE,0.318
13,P4_SSE,0.264
13,Water,0.084
13,SSE,0.083
13,Ch5_SSE,0.299
13,P4_SSE,0.246
14,Water,0.083
14,SSE,0.083
14,Ch5_SSE,0.281
14,P4_SSE,0.354
14,Water,0.084
14,SSE,0.083
14,Ch5_SSE,0.299
14,P4_SSE,0.284
14,Water,0.084
14,SSE,0.083
14,Ch5_SSE,0.315
14,P4_SSE,0.265
15,Water,0.083
15,SSE,0.083
15,Ch5_SSE,0.288
15,P4_SSE,0.362
15,Water,0.084
15,SSE,0.083
15,Ch5_SSE,0.26
15,P4_SSE,0.296
15,Water,0.084
15,SSE,0.084
15,Ch5_SSE,0.327
15,P4_SSE,0.276
16,Water,0.083
16,SSE,0.083
16,Ch5_SSE,0.293
16,P4_SSE,0.367
16,Water,0.084
16,SSE,0.083
16,Ch5_SSE,0.261
16,P4_SSE,0.309
16,Water,0.084
16,SSE,0.093
16,Ch5_SSE,0.341
16,P4_SSE,0.298
17,Water,0.083
17,SSE,0.083
17,Ch5_SSE,0.295
17,P4_SSE,0.372
17,Water,0.084
17,SSE,0.083
17,Ch5_SSE,0.267
17,P4_SSE,0.314
17,Water,0.084
17,SSE,0.087
17,Ch5_SSE,0.349
17,P4_SSE,0.306
18,Water,0.083
18,SSE,0.083
18,Ch5_SSE,0.303
18,P4_SSE,0.371
18,Water,0.084
18,SSE,0.083
18,Ch5_SSE,0.267
18,P4_SSE,0.315
18,Water,0.084
18,SSE,0.092
18,Ch5_SSE,0.356
18,P4_SSE,0.316
19,Water,0.083
19,SSE,0.083
19,Ch5_SSE,0.308
19,P4_SSE,0.366
19,Water,0.084
19,SSE,0.084
19,Ch5_SSE,0.277
19,P4_SSE,0.319
19,Water,0.084
19,SSE,0.088
19,Ch5_SSE,0.362
19,P4_SSE,0.313
20,Water,0.083
20,SSE,0.083
20,Ch5_SSE,0.312
20,P4_SSE,0.366
20,Water,0.083
20,SSE,0.083
20,Ch5_SSE,0.28
20,P4_SSE,0.319
20,Water,0.084
20,SSE,0.087
20,Ch5_SSE,0.368
20,P4_SSE,0.313
21,Water,0.083
21,SSE,0.083
21,Ch5_SSE,0.313
21,P4_SSE,0.364
21,Water,0.084
21,SSE,0.084
21,Ch5_SSE,0.285
21,P4_SSE,0.32
21,Water,0.084
21,SSE,0.085
21,Ch5_SSE,0.367
21,P4_SSE,0.305
22,Water,0.083
22,SSE,0.083
22,Ch5_SSE,0.318
22,P4_SSE,0.363
22,Water,0.083
22,SSE,0.084
22,Ch5_SSE,0.289
22,P4_SSE,0.321
22,Water,0.084
22,SSE,0.091
22,Ch5_SSE,0.369
22,P4_SSE,0.303
23,Water,0.083
23,SSE,0.083
23,Ch5_SSE,0.319
23,P4_SSE,0.365
23,Water,0.084
23,SSE,0.084
23,Ch5_SSE,0.298
23,P4_SSE,0.322
23,Water,0.084
23,SSE,0.085
23,Ch5_SSE,0.375
23,P4_SSE,0.296
24,Water,0.083
24,SSE,0.083
24,Ch5_SSE,0.32
24,P4_SSE,0.363
24,Water,0.084
24,SSE,0.084
24,Ch5_SSE,0.297
24,P4_SSE,0.324
24,Water,0.084
24,SSE,0.083
24,Ch5_SSE,0.375
24,P4_SSE,0.296
25,Water,0.083
25,SSE,0.083
25,Ch5_SSE,0.32
25,P4_SSE,0.364
25,Water,0.084
25,SSE,0.084
25,Ch5_SSE,0.304
25,P4_SSE,0.33
25,Water,0.084
25,SSE,0.083
25,Ch5_SSE,0.374
25,P4_SSE,0.299
26,Water,0.083
26,SSE,0.083
26,Ch5_SSE,0.318
26,P4_SSE,0.365
26,Water,0.083
26,SSE,0.084
26,Ch5_SSE,0.306
26,P4_SSE,0.33
26,Water,0.084
26,SSE,0.083
26,Ch5_SSE,0.378
26,P4_SSE,0.304
